player_id,player_name,firstname,lastname,nationality,birth_date,birth_place,birth_country,age,height,height_cm,weight,weight_kg,season,team_id,team_name,league_id,league_name,league_country,position,captain,injured,appearances,lineups,minutes,rating,substitutes_in,substitutes_out,substitutes_bench,shots_total,shots_on_target,goals,assists,penalty_scored,penalty_missed,passes_total,passes_key,passes_accuracy,tackles_total,tackles_blocks,tackles_interceptions,duels_total,duels_won,dribbles_attempts,dribbles_success,fouls_drawn,fouls_committed,cards_yellow,cards_yellowred,cards_red,penalty_won,penalty_committed,goals_conceded,saves,penalty_saved,wc_years,wc_teams,wc_team_ids,photo
257,Marquinhos,Marcos,Aoás Corrêa,Brazil,1994-05-14,São Paulo,Brazil,31.0,183,183.0,75,75.0,2025,85.0,Paris Saint Germain,2.0,UEFA Champions League,World,Defender,False,False,6.0,6.0,495.0,7.3,0.0,1.0,1.0,5.0,1.0,1.0,0.0,0.0,0.0,372.0,2.0,58.0,8.0,2.0,5.0,45.0,32.0,2.0,2.0,4.0,2.0,0.0,0.0,0.0,1.0,,0.0,,,2026,Brazil,6,https://media.api-sports.io/football/players/257.png
257,Marquinhos,Marcos,Aoás Corrêa,Brazil,1994-05-14,São Paulo,Brazil,31.0,183,183.0,75,75.0,2025,6.0,Brazil,10.0,Friendlies,World,Defender,False,False,2.0,2.0,185.0,6.95,0.0,0.0,0.0,,,0.0,0.0,0.0,0.0,119.0,,57.0,,1.0,2.0,4.0,2.0,1.0,1.0,1.0,,0.0,0.0,0.0,,,0.0,,,2026,Brazil,6,https://media.api-sports.io/football/players/257.png
257,Marquinhos,Marcos,Aoás Corrêa,Brazil,1994-05-14,São Paulo,Brazil,31.0,183,183.0,75,75.0,2025,85.0,Paris Saint Germain,15.0,FIFA Club World Cup,World,Defender,False,False,5.0,4.0,315.0,7.15,1.0,,,,,,0.0,0.0,0.0,241.0,1.0,57.0,,3.0,3.0,18.0,10.0,,,1.0,2.0,0.0,,0.0,,,0.0,,,2026,Brazil,6,https://media.api-sports.io/football/players/257.png
257,Marquinhos,Marcos,Aoás Corrêa,Brazil,1994-05-14,São Paulo,Brazil,31.0,183,183.0,75,75.0,2025,85.0,Paris Saint Germain,61.0,Ligue 1,France,Defender,False,False,9.0,6.0,599.0,7.14,3.0,0.0,9.0,1.0,,0.0,0.0,0.0,0.0,557.0,2.0,59.0,11.0,,4.0,39.0,23.0,1.0,1.0,,5.0,0.0,0.0,0.0,,,0.0,,,2026,Brazil,6,https://media.api-sports.io/football/players/257.png
257,Marquinhos,Marcos,Aoás Corrêa,Brazil,1994-05-14,São Paulo,Brazil,31.0,183,183.0,75,75.0,2025,85.0,Paris Saint Germain,66.0,Coupe de France,France,Defender,False,False,0.0,0.0,,,0.0,0.0,1.0,,,0.0,0.0,0.0,0.0,,,,,,,,,,,,,0.0,0.0,0.0,,,0.0,,,2026,Brazil,6,https://media.api-sports.io/football/players/257.png
257,Marquinhos,Marcos,Aoás Corrêa,Brazil,1994-05-14,São Paulo,Brazil,31.0,183,183.0,75,75.0,2025,85.0,Paris Saint Germain,526.0,Trophée des Champions,France,Defender,False,False,1.0,1.0,97.0,6.6,0.0,0.0,0.0,1.0,,0.0,0.0,0.0,0.0,51.0,1.0,49.0,1.0,1.0,,5.0,4.0,,,,2.0,0.0,0.0,0.0,,,0.0,,,2026,Brazil,6,https://media.api-sports.io/football/players/257.png
257,Marquinhos,Marcos,Aoás Corrêa,Brazil,1994-05-14,São Paulo,Brazil,31.0,183,183.0,75,75.0,2025,85.0,Paris Saint Germain,531.0,UEFA Super Cup,World,Defender,False,False,1.0,1.0,90.0,9.3,0.0,,,2.0,1.0,1.0,0.0,0.0,0.0,67.0,1.0,64.0,1.0,,,7.0,5.0,,,2.0,1.0,0.0,,0.0,,,0.0,,,2026,Brazil,6,https://media.api-sports.io/football/players/257.png
257,Marquinhos,Marcos,Aoás Corrêa,Brazil,1994-05-14,São Paulo,Brazil,31.0,183,183.0,75,75.0,2025,85.0,Paris Saint Germain,1168.0,FIFA Intercontinental Cup,World,Defender,False,False,1.0,1.0,120.0,6.9,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,108.0,,99.0,2.0,2.0,2.0,15.0,5.0,,,,3.0,0.0,0.0,0.0,,1.0,0.0,,,2026,Brazil,6,https://media.api-sports.io/football/players/257.png
257,Marquinhos,Marcos,Aoás Corrêa,Brazil,1994-05-14,São Paulo,Brazil,31.0,183,183.0,75,75.0,2024,85.0,Paris Saint Germain,2.0,UEFA Champions League,World,Defender,False,False,16.0,16.0,1440.0,7.325,0.0,,,8.0,3.0,,0.0,0.0,0.0,1161.0,8.0,68.0,29.0,18.0,6.0,119.0,76.0,6.0,3.0,3.0,11.0,3.0,,0.0,,,0.0,,,2026,Brazil,6,https://media.api-sports.io/football/players/257.png
257,Marquinhos,Marcos,Aoás Corrêa,Brazil,1994-05-14,São Paulo,Brazil,31.0,183,183.0,75,75.0,2024,6.0,Brazil,9.0,Copa America,World,Defender,False,False,4.0,4.0,360.0,7.3,0.0,,,1.0,,,0.0,0.0,0.0,292.0,,65.0,8.0,2.0,5.0,29.0,16.0,,,3.0,1.0,0.0,,0.0,,,0.0,,,2026,Brazil,6,https://media.api-sports.io/football/players/257.png
257,Marquinhos,Marcos,Aoás Corrêa,Brazil,1994-05-14,São Paulo,Brazil,31.0,183,183.0,75,75.0,2024,6.0,Brazil,10.0,Friendlies,World,Defender,False,False,1.0,1.0,90.0,7.3,0.0,0.0,1.0,,,0.0,0.0,0.0,0.0,78.0,1.0,74.0,,1.0,,2.0,2.0,,,,,0.0,0.0,0.0,,,0.0,,,2026,Brazil,6,https://media.api-sports.io/football/players/257.png
257,Marquinhos,Marcos,Aoás Corrêa,Brazil,1994-05-14,São Paulo,Brazil,31.0,183,183.0,75,75.0,2024,85.0,Paris Saint Germain,61.0,Ligue 1,France,Defender,False,False,27.0,22.0,1725.0,7.331818,5.0,,,8.0,3.0,2.0,0.0,0.0,0.0,1813.0,9.0,78.0,30.0,15.0,11.0,116.0,72.0,4.0,3.0,7.0,18.0,3.0,,0.0,,,0.0,,,2026,Brazil,6,https://media.api-sports.io/football/players/257.png
257,Marquinhos,Marcos,Aoás Corrêa,Brazil,1994-05-14,São Paulo,Brazil,31.0,183,183.0,75,75.0,2024,85.0,Paris Saint Germain,66.0,Coupe de France,France,Defender,False,False,3.0,3.0,180.0,7.95,0.0,,,1.0,1.0,1.0,0.0,0.0,0.0,191.0,4.0,92.0,1.0,,1.0,6.0,5.0,,,,,0.0,,0.0,,,0.0,,,2026,Brazil,6,https://media.api-sports.io/football/players/257.png
