fixture_id,world_cup_year,round,time_elapsed,time_extra,team_id,team_name,player_id,player_name,assist_id,assist_name,event_type,event_detail,event_type_detail,is_goal,goal_type,is_penalty,is_own_goal,is_assist,card_type,substitution_order,player_in,player_out,var_decision,comments,time_bucket,is_first_half,is_second_half,is_extra_time,is_injury_time,is_late_event
208377,2010,Round of 16,8,,7,Uruguay,157,L. Suárez,110391.0,D. Forlán,Goal,Normal Goal,Normal Goal,True,Normal,False,False,True,,,,,,,0-15,True,False,False,False,False
208377,2010,Round of 16,46,,7,Uruguay,32,D. Godín,95406.0,M. Victorino,Substitution,Substitution 1,Substitution,False,,False,False,False,,1.0,D. Godín,M. Victorino,,,46-60,False,True,False,False,False
208377,2010,Round of 16,61,,17,South Korea,77123,Kim Jae-Sung,34401.0,Lee Dong-Gook,Substitution,Substitution 1,Substitution,False,,False,False,False,,1.0,Kim Jae-Sung,Lee Dong-Gook,,,61-75,False,True,False,False,False
208377,2010,Round of 16,68,,17,South Korea,2905,Lee Chung-Yong,,,Goal,Normal Goal,Normal Goal,True,Normal,False,False,False,,,,,,,61-75,False,True,False,False,False
208377,2010,Round of 16,74,,7,Uruguay,51570,Á. Pereira,2613.0,N. Lodeiro,Substitution,Substitution 2,Substitution,False,,False,False,False,,2.0,Á. Pereira,N. Lodeiro,,,61-75,False,True,False,False,False
208377,2010,Round of 16,80,,7,Uruguay,157,L. Suárez,2613.0,N. Lodeiro,Goal,Normal Goal,Normal Goal,True,Normal,False,False,True,,,,,,,76-90,False,True,False,False,True
208377,2010,Round of 16,84,,7,Uruguay,157,L. Suárez,51719.0,Á. Fernández,Substitution,Substitution 3,Substitution,False,,False,False,False,,3.0,L. Suárez,Á. Fernández,,,76-90,False,True,False,False,True
208377,2010,Round of 16,85,,17,South Korea,18900,Ki Sung-Yeung,34703.0,Yeom Ki-Hun,Substitution,Substitution 2,Substitution,False,,False,False,False,,2.0,Ki Sung-Yeung,Yeom Ki-Hun,,,76-90,False,True,False,False,True
208378,2010,Round of 16,5,,1504,Ghana,152,K. Boateng,191.0,K. Asamoah,Goal,Normal Goal,Normal Goal,True,Normal,False,False,True,,,,,,,0-15,True,False,False,False,False
208378,2010,Round of 16,31,,2384,USA,50835,R. Clark,103219.0,M. Edu,Substitution,Substitution 1,Substitution,False,,False,False,False,,1.0,R. Clark,M. Edu,,,31-45,True,False,False,False,False
208378,2010,Round of 16,46,,2384,USA,117950,R. Findley,51314.0,B. Feilhaber,Substitution,Substitution 2,Substitution,False,,False,False,False,,2.0,R. Findley,B. Feilhaber,,,46-60,False,True,False,False,False
208378,2010,Round of 16,62,,2384,USA,105421,L. Donovan,,,Goal,Penalty,Penalty Goal,True,Penalty,True,False,False,,,,,,,61-75,False,True,False,False,False
208378,2010,Round of 16,73,,1504,Ghana,115056,H. Sarpei,117985.0,L. Addy,Substitution,Substitution 1,Substitution,False,,False,False,False,,1.0,H. Sarpei,L. Addy,,,61-75,False,True,False,False,False
208378,2010,Round of 16,78,,1504,Ghana,152,K. Boateng,115421.0,S. Appiah,Substitution,Substitution 2,Substitution,False,,False,False,False,,2.0,K. Boateng,S. Appiah,,,76-90,False,True,False,False,False
208378,2010,Round of 16,91,,2384,USA,50820,J. Altidore,105420.0,H. Gómez,Substitution,Substitution 3,Substitution,False,,False,False,False,,3.0,J. Altidore,H. Gómez,,,91-105,False,False,True,False,True
208378,2010,Round of 16,93,,1504,Ghana,3431,A. Gyan,1370.0,A. Ayew,Goal,Normal Goal,Normal Goal,True,Normal,False,False,True,,,,,,,91-105,False,False,True,False,True
208378,2010,Round of 16,113,,1504,Ghana,11324,S. Inkoom,46716.0,S. Muntari,Substitution,Substitution 3,Substitution,False,,False,False,False,,3.0,S. Inkoom,S. Muntari,,,91-105,False,False,True,False,True
208379,2010,Round of 16,20,,25,Germany,115068,M. Klose,497.0,M. Neuer,Goal,Normal Goal,Normal Goal,True,Normal,False,False,True,,,,,,,16-30,True,False,False,False,False
208379,2010,Round of 16,32,,25,Germany,33255,L. Podolski,522.0,T. Müller,Goal,Normal Goal,Normal Goal,True,Normal,False,False,True,,,,,,,31-45,True,False,False,False,False
208379,2010,Round of 16,37,,10,England,114763,M. Upson,105422.0,S. Gerrard,Goal,Normal Goal,Normal Goal,True,Normal,False,False,True,,,,,,,31-45,True,False,False,False,False
208379,2010,Round of 16,64,,10,England,296,J. Milner,102748.0,J. Cole,Substitution,Substitution 1,Substitution,False,,False,False,False,,1.0,J. Milner,J. Cole,,,61-75,False,True,False,False,False
208379,2010,Round of 16,67,,25,Germany,522,T. Müller,50914.0,B. Schweinsteiger,Goal,Normal Goal,Normal Goal,True,Normal,False,False,True,,,,,,,61-75,False,True,False,False,False
208379,2010,Round of 16,70,,25,Germany,522,T. Müller,1458.0,M. Özil,Goal,Normal Goal,Normal Goal,True,Normal,False,False,True,,,,,,,61-75,False,True,False,False,False
208379,2010,Round of 16,71,,10,England,1758,J. Defoe,114851.0,E. Heskey,Substitution,Substitution 2,Substitution,False,,False,False,False,,2.0,J. Defoe,E. Heskey,,,61-75,False,True,False,False,False
208379,2010,Round of 16,72,,25,Germany,115068,M. Klose,26314.0,M. Gómez,Substitution,Substitution 1,Substitution,False,,False,False,False,,1.0,M. Klose,M. Gómez,,,61-75,False,True,False,False,False
208379,2010,Round of 16,72,,25,Germany,522,T. Müller,114910.0,P. Trochowski,Substitution,Substitution 2,Substitution,False,,False,False,False,,2.0,T. Müller,P. Trochowski,,,61-75,False,True,False,False,False
208379,2010,Round of 16,83,,25,Germany,1458,M. Özil,90642.0,S. Kießling,Substitution,Substitution 3,Substitution,False,,False,False,False,,3.0,M. Özil,S. Kießling,,,76-90,False,True,False,False,True
208379,2010,Round of 16,87,,10,England,90491,G. Johnson,103165.0,S. Wright-Phillips,Substitution,Substitution 3,Substitution,False,,False,False,False,,3.0,G. Johnson,S. Wright-Phillips,,,76-90,False,True,False,False,True
208380,2010,Round of 16,26,,26,Argentina,5982,C. Tevez,154.0,L. Messi,Goal,Normal Goal,Normal Goal,True,Normal,False,False,True,,,,,,,16-30,True,False,False,False,False
208380,2010,Round of 16,33,,26,Argentina,2297,G. Higuaín,,,Goal,Normal Goal,Normal Goal,True,Normal,False,False,False,,,,,,,31-45,True,False,False,False,False
208380,2010,Round of 16,46,,16,Mexico,117951,A. Bautista,35926.0,P. Barrera,Substitution,Substitution 1,Substitution,False,,False,False,False,,1.0,A. Bautista,P. Barrera,,,46-60,False,True,False,False,False
208380,2010,Round of 16,52,,26,Argentina,5982,C. Tevez,,,Goal,Normal Goal,Normal Goal,True,Normal,False,False,False,,,,,,,46-60,False,True,False,False,False
208380,2010,Round of 16,61,,16,Mexico,1573,A. Guardado,117955.0,G. Franco,Substitution,Substitution 2,Substitution,False,,False,False,False,,2.0,A. Guardado,G. Franco,,,61-75,False,True,False,False,False
208380,2010,Round of 16,69,,26,Argentina,5982,C. Tevez,117956.0,J. Verón,Substitution,Substitution 1,Substitution,False,,False,False,False,,1.0,C. Tevez,J. Verón,,,61-75,False,True,False,False,False
208380,2010,Round of 16,71,,16,Mexico,2886,J. Hernández,117990.0,G. Torrado,Goal,Normal Goal,Normal Goal,True,Normal,False,False,True,,,,,,,61-75,False,True,False,False,False
208380,2010,Round of 16,79,,26,Argentina,266,Á. Di María,5946.0,J. Gutiérrez,Substitution,Substitution 2,Substitution,False,,False,False,False,,2.0,Á. Di María,J. Gutiérrez,,,76-90,False,True,False,False,False
208380,2010,Round of 16,87,,26,Argentina,6353,M. Rodríguez,781.0,J. Pastore,Substitution,Substitution 3,Substitution,False,,False,False,False,,3.0,M. Rodríguez,J. Pastore,,,76-90,False,True,False,False,True
208381,2010,Round of 16,18,,1118,Netherlands,516,A. Robben,42309.0,W. Sneijder,Goal,Normal Goal,Normal Goal,True,Normal,False,False,True,,,,,,,16-30,True,False,False,False,False
208381,2010,Round of 16,71,,1118,Netherlands,516,A. Robben,49852.0,E. Elia,Substitution,Substitution 1,Substitution,False,,False,False,False,,1.0,A. Robben,E. Elia,,,61-75,False,True,False,False,False
208381,2010,Round of 16,72,,773,Slovakia,26877,E. Jendrišek,115456.0,K. Kopúnek,Substitution,Substitution 1,Substitution,False,,False,False,False,,1.0,E. Jendrišek,K. Kopúnek,,,61-75,False,True,False,False,False
208381,2010,Round of 16,80,,1118,Netherlands,37162,R. van Persie,551.0,K. Huntelaar,Substitution,Substitution 2,Substitution,False,,False,False,False,,2.0,R. van Persie,K. Huntelaar,,,76-90,False,True,False,False,True
208381,2010,Round of 16,84,,1118,Netherlands,42309,W. Sneijder,93990.0,D. Kuijt,Goal,Normal Goal,Normal Goal,True,Normal,False,False,True,,,,,,,76-90,False,True,False,False,True
208381,2010,Round of 16,87,,773,Slovakia,12994,M. Hamšík,117994.0,M. Sapara,Substitution,Substitution 2,Substitution,False,,False,False,False,,2.0,M. Hamšík,M. Sapara,,,76-90,False,True,False,False,True
