statsbomb_match_id,world_cup_year,date,kick_off,competition_stage,stadium,referee,team_name,opponent_name,is_home,goals_scored,goals_conceded,total_shots,shots_on_target,shots_off_target,shots_blocked,shots_open_play,shots_free_kick,shots_penalty,shots_right_foot,shots_left_foot,shots_header,xg,xg_conceded,total_passes,passes_completed,passes_incomplete,avg_pass_length,long_passes,long_passes_completed,short_passes,ground_passes,low_passes,high_passes,through_balls,crosses,corners,free_kicks,goal_kicks,throw_ins,kick_offs,fouls_committed,fouls_won,handballs,yellow_cards,red_cards,second_yellows,offsides,clearances,interceptions,blocks,ball_recoveries,tackles,tackles_won,aerial_duels,aerial_duels_won,aerial_duels_lost,aerial_duels_total,pressures,dribbles_attempted,dribbles_completed,dispossessed,miscontrols,gk_saves,gk_punches,gk_claims,gk_sweeper,ball_possession_pct,possession_sequences,substitutions,fifty_fiftys,shot_accuracy,shot_conversion_rate,xg_per_shot,xg_overperformance,xg_differential,pass_completion_pct,long_pass_completion_pct,long_pass_ratio,cross_ratio,tackle_success_rate,aerial_win_pct,defensive_actions,pressure_intensity,recoveries_per_possession_lost,dribble_success_rate,discipline_index,goal_difference,match_result,is_clean_sheet,possession_differential,set_piece_passes,set_piece_ratio,gk_total_actions
7525,2018,2018-06-14,17:00:00.000,Group Stage,Stadion Luzhniki,Néstor Fabián Pitana,Russia,Saudi Arabia,1,5,0,14,7,3,4,13,1,0,6,4,4,1.2816,0.2488,388,272,116,23.56,96,53,268,198,45,145,0,8,6,8,4,23,1,23,12,0,1,0,0,3,9,4,16,52,20,13,6,22,6,28,147,12,0,19,11,0,0,0,0,39.8,90,3,3,50.0,35.7,0.0915,3.7184,1.0328,70.1,55.2,24.7,2.1,65.0,78.6,49,147,1.73,0.0,3.3,5,W,1,-10.2,41,10.6,0
7525,2018,2018-06-14,17:00:00.000,Group Stage,Stadion Luzhniki,Néstor Fabián Pitana,Saudi Arabia,Russia,0,0,5,6,0,3,3,6,0,0,3,2,1,0.2488,1.2816,572,458,114,21.33,118,68,419,409,20,143,0,6,2,16,5,23,4,12,23,0,1,0,0,1,16,7,22,49,21,13,22,6,22,28,121,11,0,13,15,2,0,0,2,60.2,104,3,3,0.0,0.0,0.0415,-0.2488,-1.0328,80.1,57.6,20.6,1.0,61.9,21.4,66,121,1.75,0.0,2.2,-5,L,0,10.2,46,8.0,4
7576,2018,2018-06-15,20:00:00.000,Group Stage,	Olimpiyskiy Stadion Fisht ,Gianluca Rocchi,Portugal,Spain,1,3,3,10,3,4,3,7,2,1,7,1,2,1.4346,1.6609,388,318,70,22.04,76,50,289,236,29,123,0,8,3,7,5,14,1,13,11,1,1,0,0,1,8,6,8,32,10,4,5,8,5,13,267,13,0,8,11,2,0,2,0,34.8,78,3,0,30.0,30.0,0.1435,1.5654,-0.2263,82.0,65.8,19.6,2.1,40.0,61.5,32,267,1.68,0.0,2.3,0,D,0,-15.2,29,7.5,4
7576,2018,2018-06-15,20:00:00.000,Group Stage,	Olimpiyskiy Stadion Fisht ,Gianluca Rocchi,Spain,Portugal,0,3,3,12,5,5,2,11,1,0,5,6,1,1.6609,1.4346,780,714,66,17.56,81,58,673,671,41,68,1,11,5,5,1,17,4,11,12,0,1,0,0,2,8,12,12,23,13,7,8,5,8,13,215,23,0,5,11,0,0,0,0,65.2,72,3,0,41.7,25.0,0.1384,1.3391,0.2263,91.5,71.6,10.4,1.4,53.8,38.5,45,215,1.44,0.0,2.1,0,D,0,15.2,28,3.6,0
7577,2018,2018-06-15,17:00:00.000,Group Stage,Saint-Petersburg Stadium,Cüneyt Çakιr,Morocco,Iran,1,0,1,14,3,6,5,14,0,0,6,6,2,1.0592,0.6976,492,397,95,21.62,98,57,369,338,38,116,1,13,5,7,5,17,2,22,16,1,1,0,0,0,14,9,18,37,9,5,9,12,9,21,149,29,0,8,12,2,0,1,0,65.4,88,3,0,21.4,0.0,0.0757,-1.0592,0.3616,80.7,58.2,19.9,2.6,55.6,57.1,50,149,1.85,0.0,3.2,-1,L,0,15.4,34,6.9,3
7577,2018,2018-06-15,17:00:00.000,Group Stage,Saint-Petersburg Stadium,Cüneyt Çakιr,Iran,Morocco,0,1,0,8,2,4,2,6,2,0,7,1,0,0.6976,1.0592,267,144,123,26.52,80,26,156,115,36,116,1,6,2,17,9,28,1,16,21,0,3,0,0,0,12,9,9,50,19,11,12,9,12,21,208,10,0,6,7,3,2,1,0,34.6,86,3,0,25.0,12.5,0.0872,0.3024,-0.3616,53.9,32.5,30.0,2.2,57.9,42.9,49,208,3.85,0.0,4.6,1,W,1,-15.4,56,21.0,6
7578,2018,2018-06-15,14:00:00.000,Group Stage,	Ekaterinburg Arena,Björn Kuipers,Egypt,Uruguay,1,0,1,8,3,2,3,8,0,0,8,0,0,0.3645,1.9408,469,344,125,21.1,77,35,365,312,47,110,0,10,0,6,6,22,2,16,6,0,1,0,0,1,13,16,17,41,27,20,20,9,20,29,166,9,0,10,8,3,1,5,0,42.8,85,3,3,37.5,0.0,0.0456,-0.3645,-1.5763,73.3,45.5,16.4,2.1,74.1,31.0,73,166,2.28,0.0,2.6,-1,L,0,-7.2,34,7.2,9
7578,2018,2018-06-15,14:00:00.000,Group Stage,	Ekaterinburg Arena,Björn Kuipers,Uruguay,Egypt,0,1,0,16,4,6,6,14,2,0,10,2,4,1.9408,0.3645,623,513,110,20.13,83,57,529,438,60,125,0,13,5,5,1,12,1,7,16,1,0,0,0,1,9,21,20,61,14,10,9,20,9,29,119,15,0,18,12,3,0,2,0,57.2,97,3,3,25.0,6.2,0.1213,-0.9408,1.5763,82.3,68.7,13.3,2.1,71.4,69.0,64,119,2.03,0.0,0.7,1,W,1,7.2,23,3.7,5
7529,2018,2018-06-16,21:00:00.000,Group Stage,Stadion Kaliningrad,Sandro Ricci,Croatia,Nigeria,1,2,0,11,2,6,3,10,0,1,7,0,4,1.6945,0.7623,503,389,114,22.15,91,51,393,325,45,133,1,16,6,12,4,8,1,21,12,1,2,0,0,2,22,14,14,34,14,8,10,14,10,24,160,10,0,6,11,2,0,2,0,50.9,88,3,0,18.2,18.2,0.154,0.3055,0.9322,77.3,56.0,18.1,3.2,57.1,58.3,64,160,2.0,0.0,4.1,2,W,1,0.9,30,6.0,4
7529,2018,2018-06-16,21:00:00.000,Group Stage,Stadion Kaliningrad,Sandro Ricci,Nigeria,Croatia,0,0,2,13,2,5,6,13,0,0,8,3,2,0.7623,1.6945,425,319,106,22.68,88,39,318,290,21,114,0,10,4,17,5,14,1,15,20,3,1,0,0,1,16,6,15,47,9,4,14,10,14,24,152,16,0,10,11,1,1,2,0,49.1,88,3,0,15.4,0.0,0.0586,-0.7623,-0.9322,75.1,44.3,20.7,2.4,44.4,41.7,46,152,2.24,0.0,2.5,-2,L,0,-0.9,40,9.4,4
