player_id,player_name,team_id,team_name,age,number,position,photo
4414,O. Benbot,1532,Algeria,31,16,Goalkeeper,https://media.api-sports.io/football/players/4414.png
4441,F. Chaâl,1532,Algeria,31,1,Goalkeeper,https://media.api-sports.io/football/players/4441.png
187945,M. Hadid,1532,Algeria,23,23,Goalkeeper,https://media.api-sports.io/football/players/187945.png
21137,A. Mandréa,1532,Algeria,29,1,Goalkeeper,https://media.api-sports.io/football/players/21137.png
328941,R. Yesli,1532,Algeria,26,16,Goalkeeper,https://media.api-sports.io/football/players/328941.png
732,L. Zidane,1532,Algeria,27,23,Goalkeeper,https://media.api-sports.io/football/players/732.png
342740,A. Abada,1532,Algeria,26,19,Defender,https://media.api-sports.io/football/players/342740.png
21138,R. Aït-Nouri,1532,Algeria,24,15,Defender,https://media.api-sports.io/football/players/21138.png
3165,Y. Atal,1532,Algeria,29,20,Defender,https://media.api-sports.io/football/players/3165.png
4997,H. Baouche,1532,Algeria,30,2,Defender,https://media.api-sports.io/football/players/4997.png
4476,A. Bedrane,1532,Algeria,33,5,Defender,https://media.api-sports.io/football/players/4476.png
4561,Z. Belaïd,1532,Algeria,26,5,Defender,https://media.api-sports.io/football/players/4561.png
303362,R. Belghali,1532,Algeria,23,25,Defender,https://media.api-sports.io/football/players/303362.png
277029,R. Benchaa,1532,Algeria,23,22,Defender,https://media.api-sports.io/football/players/277029.png
2194,R. Bensebaïni,1532,Algeria,30,21,Defender,https://media.api-sports.io/football/players/2194.png
20869,S. Chergui,1532,Algeria,26,26,Defender,https://media.api-sports.io/football/players/20869.png
284935,M. Dorval,1532,Algeria,24,3,Defender,https://media.api-sports.io/football/players/284935.png
271539,J. Hadjam,1532,Algeria,22,13,Defender,https://media.api-sports.io/football/players/271539.png
4707,R. Halaïmia,1532,Algeria,29,12,Defender,https://media.api-sports.io/football/players/4707.png
4563,N. Khacef,1532,Algeria,28,3,Defender,https://media.api-sports.io/football/players/4563.png
1567,A. Mandi,1532,Algeria,34,2,Defender,https://media.api-sports.io/football/players/1567.png
4569,M. Tougai,1532,Algeria,25,4,Defender,https://media.api-sports.io/football/players/4569.png
20692,H. Abdelli,1532,Algeria,26,8,Midfielder,https://media.api-sports.io/football/players/20692.png
658,H. Aouar,1532,Algeria,27,8,Midfielder,https://media.api-sports.io/football/players/658.png
4455,S. Bendebka,1532,Algeria,33,14,Midfielder,https://media.api-sports.io/football/players/4455.png
3173,I. Bennacer,1532,Algeria,28,10,Midfielder,https://media.api-sports.io/football/players/3173.png
1371,Y. Benzia,1532,Algeria,31,10,Midfielder,https://media.api-sports.io/football/players/1371.png
4399,H. Boudaoui,1532,Algeria,26,14,Midfielder,https://media.api-sports.io/football/players/4399.png
4491,Z. Draoui,1532,Algeria,31,8,Midfielder,https://media.api-sports.io/football/players/4491.png
83831,I. Kebbal,1532,Algeria,27,24,Midfielder,https://media.api-sports.io/football/players/83831.png
20697,V. Lekhal,1532,Algeria,31,6,Midfielder,https://media.api-sports.io/football/players/20697.png
380587,I. Maza,1532,Algeria,20,22,Midfielder,https://media.api-sports.io/football/players/380587.png
294652,H. Mrezigue,1532,Algeria,25,15,Midfielder,https://media.api-sports.io/football/players/294652.png
327,A. Ounas,1532,Algeria,29,9,Midfielder,https://media.api-sports.io/football/players/327.png
4609,A. Sayoud,1532,Algeria,35,21,Midfielder,https://media.api-sports.io/football/players/4609.png
129047,R. Zerrouki,1532,Algeria,27,6,Midfielder,https://media.api-sports.io/football/players/129047.png
4408,A. Zorgane,1532,Algeria,25,19,Midfielder,https://media.api-sports.io/football/players/4408.png
200139,M. Amoura,1532,Algeria,25,18,Attacker,https://media.api-sports.io/football/players/200139.png
296333,M. Bakrar,1532,Algeria,24,12,Attacker,https://media.api-sports.io/football/players/296333.png
533838,B. Redouane,1532,Algeria,22,28,Attacker,https://media.api-sports.io/football/players/533838.png
329163,A. Boulbina,1532,Algeria,22,27,Attacker,https://media.api-sports.io/football/players/329163.png
3176,B. Bounedjah,1532,Algeria,34,9,Attacker,https://media.api-sports.io/football/players/3176.png
388,Y. Brahimi,1532,Algeria,35,11,Attacker,https://media.api-sports.io/football/players/388.png
276670,F. Chaïbi,1532,Algeria,23,17,Attacker,https://media.api-sports.io/football/players/276670.png
2209,R. Guitane,1532,Algeria,26,17,Attacker,https://media.api-sports.io/football/players/2209.png
326067,A. Hadj-Moussa,1532,Algeria,23,11,Attacker,https://media.api-sports.io/football/players/326067.png
635,R. Mahrez,1532,Algeria,34,7,Attacker,https://media.api-sports.io/football/players/635.png
1374,I. Slimani,1532,Algeria,37,13,Attacker,https://media.api-sports.io/football/players/1374.png
