player_id,player_name,team_id,team_name,age,number,position,photo
119853,M. Diaw,13,Senegal,32,23,Goalkeeper,https://media.api-sports.io/football/players/119853.png
20566,Y. Diouf,13,Senegal,26,1,Goalkeeper,https://media.api-sports.io/football/players/20566.png
2986,É. Mendy,13,Senegal,33,16,Goalkeeper,https://media.api-sports.io/football/players/2986.png
409303,E. Diouf,13,Senegal,21,25,Defender,https://media.api-sports.io/football/players/409303.png
158121,I. Jakobs,13,Senegal,26,14,Defender,https://media.api-sports.io/football/players/158121.png
318,K. Koulibaly,13,Senegal,34,3,Defender,https://media.api-sports.io/football/players/318.png
313937,A. Mendy,13,Senegal,21,24,Defender,https://media.api-sports.io/football/players/313937.png
25916,M. Niakhaté,13,Senegal,29,19,Defender,https://media.api-sports.io/football/players/25916.png
276184,M. Sarr,13,Senegal,20,2,Defender,https://media.api-sports.io/football/players/276184.png
8450,A. Seck,13,Senegal,33,4,Defender,https://media.api-sports.io/football/players/8450.png
371839,I. Camara,13,Senegal,22,14,Midfielder,https://media.api-sports.io/football/players/371839.png
374058,L. Camara,13,Senegal,21,8,Midfielder,https://media.api-sports.io/football/players/374058.png
344813,M. Camara,13,Senegal,22,28,Midfielder,https://media.api-sports.io/football/players/344813.png
41552,P. Ciss,13,Senegal,31,6,Midfielder,https://media.api-sports.io/football/players/41552.png
327631,H. Diarra,13,Senegal,21,7,Midfielder,https://media.api-sports.io/football/players/327631.png
81,K. Diatta,13,Senegal,26,15,Midfielder,https://media.api-sports.io/football/players/81.png
2990,I. Gueye,13,Senegal,36,5,Midfielder,https://media.api-sports.io/football/players/2990.png
20696,P. Gueye,13,Senegal,26,26,Midfielder,https://media.api-sports.io/football/players/20696.png
237129,P. Sarr,13,Senegal,23,17,Midfielder,https://media.api-sports.io/football/players/237129.png
22015,B. Dia,13,Senegal,29,9,Attacker,https://media.api-sports.io/football/players/22015.png
20535,H. Diallo,13,Senegal,30,20,Attacker,https://media.api-sports.io/football/players/20535.png
400948,Assane Diao,13,Senegal,20,7,Attacker,https://media.api-sports.io/football/players/400948.png
283058,N. Jackson,13,Senegal,24,11,Attacker,https://media.api-sports.io/football/players/283058.png
304,S. Mané,13,Senegal,33,10,Attacker,https://media.api-sports.io/football/players/304.png
446249,I. Mbaye,13,Senegal,17,27,Attacker,https://media.api-sports.io/football/players/446249.png
14379,C. Ndiaye,13,Senegal,29,12,Attacker,https://media.api-sports.io/football/players/14379.png
18592,I. Ndiaye,13,Senegal,25,13,Attacker,https://media.api-sports.io/football/players/18592.png
203456,O. Niang,13,Senegal,24,22,Attacker,https://media.api-sports.io/football/players/203456.png
20534,C. Sabaly,13,Senegal,26,21,Attacker,https://media.api-sports.io/football/players/20534.png
2218,I. Sarr,13,Senegal,27,18,Attacker,https://media.api-sports.io/football/players/2218.png
