player_id,player_name,firstname,lastname,nationality,birth_date,birth_place,birth_country,age,height,weight,injured,photo,season,team_id,team_name,league_id,league_name,league_country,position,appearances,lineups,minutes,rating,captain,substitutes_in,substitutes_out,substitutes_bench,shots_total,shots_on_target,goals,goals_conceded,assists,saves,passes_total,passes_key,passes_accuracy,tackles_total,tackles_blocks,tackles_interceptions,duels_total,duels_won,dribbles_attempts,dribbles_success,dribbles_past,fouls_drawn,fouls_committed,cards_yellow,cards_yellowred,cards_red,penalty_won,penalty_committed,penalty_scored,penalty_missed,penalty_saved,national_team_id,national_team_name
30,S. Arias,Santiago,Arias Naranjo,Colombia,1992-01-13,Medellín,Colombia,33,178,72,False,https://media.api-sports.io/football/players/30.png,2025,8.0,Colombia,10.0,Friendlies,World,Defender,2.0,2.0,194.0,7.5,False,0.0,0.0,0.0,2.0,1.0,0.0,0.0,1.0,,132.0,4.0,60.0,2.0,1.0,1.0,12.0,6.0,,,,2.0,1.0,0.0,0.0,0.0,1.0,,0.0,0.0,,8,Colombia
30,S. Arias,Santiago,Arias Naranjo,Colombia,1992-01-13,Medellín,Colombia,33,178,72,False,https://media.api-sports.io/football/players/30.png,2025,118.0,Bahia,11.0,CONMEBOL Sudamericana,World,Defender,1.0,1.0,180.0,6.9,False,0.0,0.0,0.0,,,0.0,0.0,0.0,,142.0,3.0,65.0,2.0,,2.0,21.0,10.0,7.0,2.0,,1.0,1.0,0.0,0.0,0.0,,,0.0,0.0,,8,Colombia
30,S. Arias,Santiago,Arias Naranjo,Colombia,1992-01-13,Medellín,Colombia,33,178,72,False,https://media.api-sports.io/football/players/30.png,2025,118.0,Bahia,13.0,CONMEBOL Libertadores,World,Defender,2.0,2.0,169.0,7.1,False,0.0,1.0,3.0,,,0.0,0.0,0.0,,105.0,4.0,44.0,,,2.0,7.0,3.0,,,,2.0,,0.0,0.0,0.0,,,0.0,0.0,,8,Colombia
30,S. Arias,Santiago,Arias Naranjo,Colombia,1992-01-13,Medellín,Colombia,33,178,72,False,https://media.api-sports.io/football/players/30.png,2025,118.0,Bahia,71.0,Serie A,Brazil,Defender,21.0,15.0,1450.0,6.78,False,6.0,2.0,17.0,7.0,3.0,0.0,0.0,0.0,,890.0,11.0,,20.0,5.0,19.0,88.0,51.0,8.0,2.0,,18.0,10.0,3.0,0.0,0.0,,2.0,0.0,0.0,,8,Colombia
30,S. Arias,Santiago,Arias Naranjo,Colombia,1992-01-13,Medellín,Colombia,33,178,72,False,https://media.api-sports.io/football/players/30.png,2025,118.0,Bahia,73.0,Copa Do Brasil,Brazil,Defender,1.0,1.0,193.0,7.85,False,0.0,0.0,0.0,,,0.0,0.0,0.0,,95.0,2.0,42.0,6.0,2.0,3.0,13.0,11.0,1.0,,,4.0,,0.0,0.0,0.0,,,0.0,0.0,,8,Colombia
30,S. Arias,Santiago,Arias Naranjo,Colombia,1992-01-13,Medellín,Colombia,33,178,72,False,https://media.api-sports.io/football/players/30.png,2025,118.0,Bahia,602.0,Baiano - 1,Brazil,Defender,6.0,5.0,478.0,,False,1.0,1.0,1.0,,,1.0,,,,,,,,,,,,,,,,,0.0,0.0,0.0,,,,,,8,Colombia
30,S. Arias,Santiago,Arias Naranjo,Colombia,1992-01-13,Medellín,Colombia,33,178,72,False,https://media.api-sports.io/football/players/30.png,2025,118.0,Bahia,612.0,Copa do Nordeste,Brazil,Defender,0.0,0.0,0.0,,False,0.0,0.0,1.0,,,0.0,,,,,,,,,,,,,,,,,0.0,0.0,0.0,,,,,,8,Colombia
30,S. Arias,Santiago,Arias Naranjo,Colombia,1992-01-13,Medellín,Colombia,33,178,72,False,https://media.api-sports.io/football/players/30.png,2025,118.0,Bahia,1179.0,Copa do Brasil U17,Brazil,Defender,,,,,False,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8,Colombia
30,S. Arias,Santiago,Arias Naranjo,Colombia,1992-01-13,Medellín,Colombia,33,178,72,False,https://media.api-sports.io/football/players/30.png,2024,8.0,Colombia,9.0,Copa America,World,Defender,6.0,3.0,182.0,6.666666,False,3.0,,,1.0,,,0.0,0.0,,44.0,2.0,,4.0,,,20.0,7.0,,,,1.0,3.0,0.0,,0.0,,,0.0,0.0,,8,Colombia
30,S. Arias,Santiago,Arias Naranjo,Colombia,1992-01-13,Medellín,Colombia,33,178,72,False,https://media.api-sports.io/football/players/30.png,2024,8.0,Colombia,10.0,Friendlies,World,Defender,2.0,0.0,58.0,,False,2.0,0.0,4.0,,,0.0,,,,,,,,,,,,,,,,,0.0,0.0,0.0,,,,,,8,Colombia
30,S. Arias,Santiago,Arias Naranjo,Colombia,1992-01-13,Medellín,Colombia,33,178,72,False,https://media.api-sports.io/football/players/30.png,2024,118.0,Bahia,71.0,Serie A,Brazil,Defender,26.0,23.0,1884.0,7.07826,False,3.0,,,7.0,2.0,,0.0,1.0,,1056.0,28.0,,43.0,6.0,23.0,167.0,91.0,15.0,6.0,,25.0,26.0,2.0,,1.0,,,0.0,0.0,,8,Colombia
30,S. Arias,Santiago,Arias Naranjo,Colombia,1992-01-13,Medellín,Colombia,33,178,72,False,https://media.api-sports.io/football/players/30.png,2024,118.0,Bahia,73.0,Copa Do Brasil,Brazil,Defender,6.0,6.0,540.0,7.35,False,0.0,,,3.0,2.0,,0.0,2.0,,355.0,8.0,50.0,9.0,1.0,7.0,58.0,28.0,7.0,2.0,,4.0,5.0,0.0,,0.0,,,0.0,0.0,,8,Colombia
30,S. Arias,Santiago,Arias Naranjo,Colombia,1992-01-13,Medellín,Colombia,33,178,72,False,https://media.api-sports.io/football/players/30.png,2024,2242.0,FC Cincinnati,253.0,Major League Soccer,USA,Defender,,,,,False,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8,Colombia
30,S. Arias,Santiago,Arias Naranjo,Colombia,1992-01-13,Medellín,Colombia,33,178,72,False,https://media.api-sports.io/football/players/30.png,2024,118.0,Bahia,602.0,Baiano - 1,Brazil,Defender,3.0,2.0,171.0,,False,1.0,1.0,5.0,,,0.0,,,,,,,,,,,,,,,,,0.0,0.0,0.0,,,,,,8,Colombia
30,S. Arias,Santiago,Arias Naranjo,Colombia,1992-01-13,Medellín,Colombia,33,178,72,False,https://media.api-sports.io/football/players/30.png,2024,118.0,Bahia,612.0,Copa do Nordeste,Brazil,Defender,4.0,4.0,359.0,,False,0.0,2.0,1.0,,,1.0,,,,,,,,,,,,,,,,,1.0,0.0,0.0,,,,,,8,Colombia
30,S. Arias,Santiago,Arias Naranjo,Colombia,1992-01-13,Medellín,Colombia,33,178,72,False,https://media.api-sports.io/football/players/30.png,2023,8.0,Colombia,10.0,Friendlies,World,Defender,0.0,0.0,0.0,,False,0.0,0.0,0.0,,,0.0,,,,,,,,,,,,,,,,,0.0,0.0,0.0,,,,,,8,Colombia
30,S. Arias,Santiago,Arias Naranjo,Colombia,1992-01-13,Medellín,Colombia,33,178,72,False,https://media.api-sports.io/football/players/30.png,2023,2242.0,FC Cincinnati,253.0,Major League Soccer,USA,Defender,31.0,25.0,1809.0,6.910714,False,6.0,,,21.0,11.0,2.0,0.0,1.0,,768.0,22.0,,41.0,4.0,32.0,176.0,105.0,25.0,14.0,,27.0,20.0,4.0,,0.0,,,0.0,0.0,,8,Colombia
30,S. Arias,Santiago,Arias Naranjo,Colombia,1992-01-13,Medellín,Colombia,33,178,72,False,https://media.api-sports.io/football/players/30.png,2023,2242.0,FC Cincinnati,257.0,US Open Cup,USA,Defender,6.0,6.0,540.0,7.35,False,0.0,,,3.0,2.0,,0.0,2.0,,355.0,8.0,50.0,9.0,1.0,7.0,58.0,28.0,7.0,2.0,,4.0,5.0,0.0,,0.0,,,0.0,0.0,,8,Colombia
30,S. Arias,Santiago,Arias Naranjo,Colombia,1992-01-13,Medellín,Colombia,33,178,72,False,https://media.api-sports.io/football/players/30.png,2023,2242.0,FC Cincinnati,772.0,Leagues Cup,World,Defender,0.0,0.0,0.0,,False,0.0,0.0,0.0,,,0.0,,,,,,,,,,,,,,,,,0.0,0.0,0.0,,,,,,8,Colombia
30,S. Arias,Santiago,Arias Naranjo,Colombia,1992-01-13,Medellín,Colombia,33,178,72,False,https://media.api-sports.io/football/players/30.png,2022,8.0,Colombia,34.0,World Cup - Qualification South America,World,Defender,1.0,1.0,13.0,6.7,False,0.0,1.0,0.0,,,0.0,0.0,,,7.0,,,,,1.0,,,,,,,,0.0,0.0,0.0,,,0.0,0.0,,8,Colombia
