player_id,player_name,firstname,lastname,nationality,birth_date,birth_place,birth_country,age,height,weight,injured,photo,season,team_id,team_name,league_id,league_name,league_country,position,appearances,lineups,minutes,rating,captain,substitutes_in,substitutes_out,substitutes_bench,shots_total,shots_on_target,goals,goals_conceded,assists,saves,passes_total,passes_key,passes_accuracy,tackles_total,tackles_blocks,tackles_interceptions,duels_total,duels_won,dribbles_attempts,dribbles_success,dribbles_past,fouls_drawn,fouls_committed,cards_yellow,cards_yellowred,cards_red,penalty_won,penalty_committed,penalty_scored,penalty_missed,penalty_saved,national_team_id,national_team_name
9,A. Hakimi,Achraf,Hakimi Mouh,Morocco,1998-11-04,Madrid,Spain,27,181.0,73.0,False,https://media.api-sports.io/football/players/9.png,2025,85.0,Paris Saint Germain,2.0,UEFA Champions League,World,Defender,5.0,5.0,404.0,6.76,False,0.0,1.0,0.0,4.0,2.0,0.0,0.0,3.0,,354.0,10.0,63.0,7.0,1.0,2.0,27.0,18.0,4.0,2.0,,7.0,1.0,1.0,0.0,0.0,,,0.0,0.0,,31,Morocco
9,A. Hakimi,Achraf,Hakimi Mouh,Morocco,1998-11-04,Madrid,Spain,27,181.0,73.0,False,https://media.api-sports.io/football/players/9.png,2025,31.0,Morocco,6.0,Africa Cup of Nations,World,Defender,5.0,4.0,446.0,7.44,False,1.0,0.0,3.0,5.0,3.0,0.0,0.0,1.0,,232.0,14.0,,7.0,1.0,4.0,46.0,24.0,2.0,1.0,,14.0,8.0,0.0,0.0,0.0,,,0.0,0.0,,31,Morocco
9,A. Hakimi,Achraf,Hakimi Mouh,Morocco,1998-11-04,Madrid,Spain,27,181.0,73.0,False,https://media.api-sports.io/football/players/9.png,2025,31.0,Morocco,10.0,Friendlies,World,Defender,3.0,2.0,198.0,7.93,False,1.0,0.0,1.0,4.0,3.0,1.0,0.0,1.0,,149.0,6.0,44.0,2.0,,1.0,15.0,10.0,5.0,3.0,,2.0,,0.0,0.0,0.0,,,0.0,0.0,,31,Morocco
9,A. Hakimi,Achraf,Hakimi Mouh,Morocco,1998-11-04,Madrid,Spain,27,181.0,73.0,False,https://media.api-sports.io/football/players/9.png,2025,85.0,Paris Saint Germain,15.0,FIFA Club World Cup,World,Defender,5.0,5.0,413.0,7.56,False,0.0,,,7.0,3.0,1.0,0.0,2.0,,325.0,8.0,58.0,2.0,1.0,4.0,31.0,11.0,9.0,4.0,,3.0,7.0,0.0,,0.0,,,0.0,0.0,,31,Morocco
9,A. Hakimi,Achraf,Hakimi Mouh,Morocco,1998-11-04,Madrid,Spain,27,181.0,73.0,False,https://media.api-sports.io/football/players/9.png,2025,85.0,Paris Saint Germain,61.0,Ligue 1,France,Defender,9.0,6.0,654.0,6.78,False,3.0,0.0,4.0,7.0,4.0,2.0,0.0,0.0,,625.0,10.0,63.0,12.0,,4.0,65.0,24.0,23.0,4.0,,8.0,6.0,2.0,0.0,0.0,,,0.0,0.0,,31,Morocco
9,A. Hakimi,Achraf,Hakimi Mouh,Morocco,1998-11-04,Madrid,Spain,27,181.0,73.0,False,https://media.api-sports.io/football/players/9.png,2025,85.0,Paris Saint Germain,531.0,UEFA Super Cup,World,Defender,1.0,1.0,90.0,7.2,False,0.0,,,1.0,1.0,,0.0,1.0,,86.0,3.0,79.0,1.0,,,3.0,3.0,1.0,1.0,,1.0,,0.0,,0.0,,,0.0,0.0,,31,Morocco
9,A. Hakimi,Achraf,Hakimi Mouh,Morocco,1998-11-04,Madrid,Spain,27,181.0,73.0,False,https://media.api-sports.io/football/players/9.png,2025,31.0,Morocco,,Africa Cup of Nations Qualification,,Defender,5.0,5.0,450.0,7.68,False,0.0,0.0,0.0,3.0,2.0,1.0,0.0,1.0,,332.0,12.0,59.0,13.0,,6.0,42.0,22.0,7.0,4.0,,5.0,3.0,1.0,0.0,0.0,,,0.0,0.0,,31,Morocco
9,A. Hakimi,Achraf,Hakimi Mouh,Morocco,1998-11-04,Madrid,Spain,27,181.0,73.0,False,https://media.api-sports.io/football/players/9.png,2024,85.0,Paris Saint Germain,2.0,UEFA Champions League,World,Defender,17.0,17.0,1541.0,7.541176,False,0.0,,,25.0,15.0,4.0,0.0,5.0,,1212.0,36.0,62.0,37.0,,16.0,194.0,86.0,46.0,19.0,,23.0,21.0,3.0,,0.0,,,0.0,0.0,,31,Morocco
9,A. Hakimi,Achraf,Hakimi Mouh,Morocco,1998-11-04,Madrid,Spain,27,181.0,73.0,False,https://media.api-sports.io/football/players/9.png,2024,31.0,Morocco,10.0,Friendlies,World,Defender,2.0,2.0,180.0,,False,0.0,0.0,0.0,,,0.0,,,,,,,,,,,,,,,,,1.0,0.0,0.0,,,,,,31,Morocco
9,A. Hakimi,Achraf,Hakimi Mouh,Morocco,1998-11-04,Madrid,Spain,27,181.0,73.0,False,https://media.api-sports.io/football/players/9.png,2024,85.0,Paris Saint Germain,61.0,Ligue 1,France,Defender,27.0,25.0,2067.0,7.744,False,2.0,,,23.0,13.0,4.0,0.0,6.0,,1907.0,51.0,69.0,48.0,2.0,31.0,201.0,108.0,47.0,26.0,,25.0,19.0,4.0,,0.0,,,0.0,0.0,,31,Morocco
9,A. Hakimi,Achraf,Hakimi Mouh,Morocco,1998-11-04,Madrid,Spain,27,181.0,73.0,False,https://media.api-sports.io/football/players/9.png,2024,85.0,Paris Saint Germain,66.0,Coupe de France,France,Defender,4.0,4.0,287.0,7.775,False,0.0,,,7.0,4.0,1.0,0.0,1.0,,279.0,9.0,64.0,7.0,1.0,,32.0,14.0,5.0,2.0,,3.0,7.0,0.0,,0.0,,,0.0,0.0,,31,Morocco
9,A. Hakimi,Achraf,Hakimi Mouh,Morocco,1998-11-04,Madrid,Spain,27,181.0,73.0,False,https://media.api-sports.io/football/players/9.png,2024,10179.0,Morocco U23,480.0,Olympics Men,World,Defender,8.0,8.0,587.0,6.4375,False,0.0,,,3.0,2.0,,0.0,2.0,,350.0,3.0,,9.0,,8.0,50.0,19.0,14.0,5.0,,1.0,3.0,1.0,,0.0,,,0.0,0.0,,31,Morocco
9,A. Hakimi,Achraf,Hakimi Mouh,Morocco,1998-11-04,Madrid,Spain,27,181.0,73.0,False,https://media.api-sports.io/football/players/9.png,2024,85.0,Paris Saint Germain,526.0,Trophée des Champions,France,Defender,4.0,4.0,287.0,7.775,False,0.0,,,7.0,4.0,1.0,0.0,1.0,,279.0,9.0,64.0,7.0,1.0,,32.0,14.0,5.0,2.0,,3.0,7.0,0.0,,0.0,,,0.0,0.0,,31,Morocco
9,A. Hakimi,Achraf,Hakimi Mouh,Morocco,1998-11-04,Madrid,Spain,27,181.0,73.0,False,https://media.api-sports.io/football/players/9.png,2023,85.0,Paris Saint Germain,2.0,UEFA Champions League,World,Defender,11.0,11.0,983.0,7.263636,False,0.0,2.0,0.0,10.0,3.0,1.0,0.0,1.0,,815.0,27.0,64.0,20.0,,12.0,115.0,49.0,21.0,8.0,,11.0,16.0,4.0,0.0,0.0,,,0.0,0.0,,31,Morocco
9,A. Hakimi,Achraf,Hakimi Mouh,Morocco,1998-11-04,Madrid,Spain,27,181.0,73.0,False,https://media.api-sports.io/football/players/9.png,2023,31.0,Morocco,6.0,Africa Cup of Nations,World,Defender,4.0,4.0,360.0,7.575,False,0.0,,,4.0,1.0,1.0,0.0,1.0,,208.0,10.0,46.0,10.0,,4.0,36.0,22.0,5.0,2.0,,8.0,6.0,1.0,,0.0,,,0.0,1.0,,31,Morocco
9,A. Hakimi,Achraf,Hakimi Mouh,Morocco,1998-11-04,Madrid,Spain,27,181.0,73.0,False,https://media.api-sports.io/football/players/9.png,2023,31.0,Morocco,10.0,Friendlies,World,Defender,4.0,4.0,323.0,,False,0.0,1.0,1.0,,,0.0,,,,,,,,,,,,,,,,,1.0,0.0,0.0,,,,,,31,Morocco
