player_id,player_name,firstname,lastname,nationality,birth_date,birth_place,birth_country,age,height,height_cm,weight,weight_kg,season,team_id,team_name,league_id,league_name,league_country,position,captain,injured,appearances,lineups,minutes,rating,substitutes_in,substitutes_out,substitutes_bench,shots_total,shots_on_target,goals,assists,penalty_scored,penalty_missed,passes_total,passes_key,passes_accuracy,tackles_total,tackles_blocks,tackles_interceptions,duels_total,duels_won,dribbles_attempts,dribbles_success,fouls_drawn,fouls_committed,cards_yellow,cards_yellowred,cards_red,penalty_won,penalty_committed,goals_conceded,saves,penalty_saved,wc_years,wc_teams,wc_team_ids,photo
44315,Abdullah Al Khaibari,Abdullah Mohammed Hamza Al Ber,Al Khaibari,Saudi Arabia,1996-08-16,Riyadh,Saudi Arabia,29.0,175,175.0,68.0,68.0,2025,23.0,Saudi Arabia,10.0,Friendlies,World,Midfielder,False,False,4.0,4.0,180.0,6.7,0.0,1.0,0.0,,,0.0,0.0,0.0,0.0,141.0,,63.0,2.0,1.0,4.0,18.0,6.0,4.0,1.0,3.0,6.0,1.0,0.0,0.0,,,0.0,,,2026,Saudi Arabia,23,https://media.api-sports.io/football/players/44315.png
44315,Abdullah Al Khaibari,Abdullah Mohammed Hamza Al Ber,Al Khaibari,Saudi Arabia,1996-08-16,Riyadh,Saudi Arabia,29.0,175,175.0,68.0,68.0,2025,2939.0,Al-Nassr,18.0,AFC Cup,World,Midfielder,False,False,5.0,2.0,203.0,7.35,3.0,0.0,3.0,3.0,1.0,1.0,0.0,0.0,0.0,181.0,,42.0,5.0,,1.0,10.0,7.0,,,1.0,,0.0,0.0,0.0,,,0.0,,,2026,Saudi Arabia,23,https://media.api-sports.io/football/players/44315.png
44315,Abdullah Al Khaibari,Abdullah Mohammed Hamza Al Ber,Al Khaibari,Saudi Arabia,1996-08-16,Riyadh,Saudi Arabia,29.0,175,175.0,68.0,68.0,2025,23.0,Saudi Arabia,22.0,CONCACAF Gold Cup,World,Midfielder,False,False,6.0,6.0,348.0,6.875,0.0,,,1.0,1.0,,1.0,0.0,0.0,227.0,3.0,42.0,10.0,1.0,3.0,39.0,18.0,2.0,,7.0,6.0,1.0,,0.0,,,0.0,,,2026,Saudi Arabia,23,https://media.api-sports.io/football/players/44315.png
44315,Abdullah Al Khaibari,Abdullah Mohammed Hamza Al Ber,Al Khaibari,Saudi Arabia,1996-08-16,Riyadh,Saudi Arabia,29.0,175,175.0,68.0,68.0,2025,2939.0,Al-Nassr,307.0,Pro League,Saudi-Arabia,Midfielder,False,False,17.0,6.0,832.0,6.77,11.0,3.0,11.0,4.0,,0.0,0.0,0.0,0.0,504.0,10.0,,20.0,2.0,6.0,71.0,37.0,4.0,2.0,11.0,18.0,4.0,0.0,0.0,,,0.0,,,2026,Saudi Arabia,23,https://media.api-sports.io/football/players/44315.png
44315,Abdullah Al Khaibari,Abdullah Mohammed Hamza Al Ber,Al Khaibari,Saudi Arabia,1996-08-16,Riyadh,Saudi Arabia,29.0,175,175.0,68.0,68.0,2025,2939.0,Al-Nassr,667.0,Friendlies Clubs,World,Midfielder,False,False,7.0,5.0,321.0,6.733333,2.0,,,1.0,,,0.0,0.0,0.0,253.0,1.0,,9.0,1.0,1.0,31.0,14.0,2.0,2.0,2.0,5.0,0.0,,0.0,,,0.0,,,2026,Saudi Arabia,23,https://media.api-sports.io/football/players/44315.png
44315,Abdullah Al Khaibari,Abdullah Mohammed Hamza Al Ber,Al Khaibari,Saudi Arabia,1996-08-16,Riyadh,Saudi Arabia,29.0,175,175.0,68.0,68.0,2025,2939.0,Al-Nassr,,King's Cup,,Midfielder,False,False,28.0,25.0,1764.0,6.762962,3.0,,,7.0,1.0,,,0.0,0.0,1262.0,4.0,41.0,41.0,1.0,10.0,162.0,87.0,16.0,12.0,24.0,25.0,6.0,,0.0,,,0.0,,,2026,Saudi Arabia,23,https://media.api-sports.io/football/players/44315.png
44315,Abdullah Al Khaibari,Abdullah Mohammed Hamza Al Ber,Al Khaibari,Saudi Arabia,1996-08-16,Riyadh,Saudi Arabia,29.0,175,175.0,68.0,68.0,2024,23.0,Saudi Arabia,10.0,Friendlies,World,Midfielder,False,False,0.0,0.0,0.0,,0.0,0.0,0.0,,,0.0,,,,,,,,,,,,,,,,0.0,0.0,0.0,,,,,,2026,Saudi Arabia,23,https://media.api-sports.io/football/players/44315.png
44315,Abdullah Al Khaibari,Abdullah Mohammed Hamza Al Ber,Al Khaibari,Saudi Arabia,1996-08-16,Riyadh,Saudi Arabia,29.0,175,175.0,68.0,68.0,2024,2939.0,Al-Nassr,17.0,AFC Champions League,World,Midfielder,False,False,7.0,5.0,321.0,6.733333,2.0,,,1.0,,,0.0,0.0,0.0,253.0,1.0,,9.0,1.0,1.0,31.0,14.0,2.0,2.0,2.0,5.0,0.0,,0.0,,,0.0,,,2026,Saudi Arabia,23,https://media.api-sports.io/football/players/44315.png
44315,Abdullah Al Khaibari,Abdullah Mohammed Hamza Al Ber,Al Khaibari,Saudi Arabia,1996-08-16,Riyadh,Saudi Arabia,29.0,175,175.0,68.0,68.0,2024,2939.0,Al-Nassr,307.0,Pro League,Saudi-Arabia,Midfielder,False,False,24.0,20.0,1299.0,6.813636,4.0,,,4.0,1.0,,0.0,0.0,0.0,892.0,,,43.0,2.0,10.0,133.0,74.0,14.0,9.0,18.0,24.0,4.0,,0.0,,,0.0,,,2026,Saudi Arabia,23,https://media.api-sports.io/football/players/44315.png
44315,Abdullah Al Khaibari,Abdullah Mohammed Hamza Al Ber,Al Khaibari,Saudi Arabia,1996-08-16,Riyadh,Saudi Arabia,29.0,175,175.0,68.0,68.0,2024,2939.0,Al-Nassr,667.0,Friendlies Clubs,World,Midfielder,False,False,0.0,0.0,0.0,,0.0,0.0,0.0,,,0.0,,,,,,,,,,,,,,,,0.0,0.0,0.0,,,,,,2026,Saudi Arabia,23,https://media.api-sports.io/football/players/44315.png
