fixture_id,world_cup_year,round,time_elapsed,time_extra,team_id,team_name,player_id,player_name,assist_id,assist_name,event_type,event_detail,comments
208377,2010,8th Finals,8,,7,Uruguay,157,L. Suárez,110391.0,D. Forlán,Goal,Normal Goal,
208377,2010,8th Finals,46,,7,Uruguay,32,D. Godín,95406.0,M. Victorino,subst,Substitution 1,
208377,2010,8th Finals,61,,17,South Korea,77123,Kim Jae-Sung,34401.0,Lee Dong-Gook,subst,Substitution 1,
208377,2010,8th Finals,68,,17,South Korea,2905,Lee Chung-Yong,,,Goal,Normal Goal,
208377,2010,8th Finals,74,,7,Uruguay,51570,Á. Pereira,2613.0,N. Lodeiro,subst,Substitution 2,
208377,2010,8th Finals,80,,7,Uruguay,157,L. Suárez,2613.0,N. Lodeiro,Goal,Normal Goal,
208377,2010,8th Finals,84,,7,Uruguay,157,L. Suárez,51719.0,Á. Fernández,subst,Substitution 3,
208377,2010,8th Finals,85,,17,South Korea,18900,Ki Sung-Yeung,34703.0,Yeom Ki-Hun,subst,Substitution 2,
208378,2010,8th Finals,5,,1504,Ghana,152,K. Boateng,191.0,K. Asamoah,Goal,Normal Goal,
208378,2010,8th Finals,31,,2384,USA,50835,R. Clark,103219.0,M. Edu,subst,Substitution 1,
208378,2010,8th Finals,46,,2384,USA,117950,R. Findley,51314.0,B. Feilhaber,subst,Substitution 2,
208378,2010,8th Finals,62,,2384,USA,105421,L. Donovan,,,Goal,Penalty,
208378,2010,8th Finals,73,,1504,Ghana,115056,H. Sarpei,117985.0,L. Addy,subst,Substitution 1,
208378,2010,8th Finals,78,,1504,Ghana,152,K. Boateng,115421.0,S. Appiah,subst,Substitution 2,
208378,2010,8th Finals,91,,2384,USA,50820,J. Altidore,105420.0,H. Gómez,subst,Substitution 3,
208378,2010,8th Finals,93,,1504,Ghana,3431,A. Gyan,1370.0,A. Ayew,Goal,Normal Goal,
208378,2010,8th Finals,113,,1504,Ghana,11324,S. Inkoom,46716.0,S. Muntari,subst,Substitution 3,
208379,2010,8th Finals,20,,25,Germany,115068,M. Klose,497.0,M. Neuer,Goal,Normal Goal,
208379,2010,8th Finals,32,,25,Germany,33255,L. Podolski,522.0,T. Müller,Goal,Normal Goal,
208379,2010,8th Finals,37,,10,England,114763,M. Upson,105422.0,S. Gerrard,Goal,Normal Goal,
208379,2010,8th Finals,64,,10,England,296,J. Milner,102748.0,J. Cole,subst,Substitution 1,
208379,2010,8th Finals,67,,25,Germany,522,T. Müller,50914.0,B. Schweinsteiger,Goal,Normal Goal,
208379,2010,8th Finals,70,,25,Germany,522,T. Müller,1458.0,M. Özil,Goal,Normal Goal,
208379,2010,8th Finals,71,,10,England,1758,J. Defoe,114851.0,E. Heskey,subst,Substitution 2,
208379,2010,8th Finals,72,,25,Germany,115068,M. Klose,26314.0,M. Gómez,subst,Substitution 1,
208379,2010,8th Finals,72,,25,Germany,522,T. Müller,114910.0,P. Trochowski,subst,Substitution 2,
208379,2010,8th Finals,83,,25,Germany,1458,M. Özil,90642.0,S. Kießling,subst,Substitution 3,
208379,2010,8th Finals,87,,10,England,90491,G. Johnson,103165.0,S. Wright-Phillips,subst,Substitution 3,
208380,2010,8th Finals,26,,26,Argentina,5982,C. Tevez,154.0,L. Messi,Goal,Normal Goal,
208380,2010,8th Finals,33,,26,Argentina,2297,G. Higuaín,,,Goal,Normal Goal,
208380,2010,8th Finals,46,,16,Mexico,117951,A. Bautista,35926.0,P. Barrera,subst,Substitution 1,
208380,2010,8th Finals,52,,26,Argentina,5982,C. Tevez,,,Goal,Normal Goal,
208380,2010,8th Finals,61,,16,Mexico,1573,A. Guardado,117955.0,G. Franco,subst,Substitution 2,
208380,2010,8th Finals,69,,26,Argentina,5982,C. Tevez,117956.0,J. Verón,subst,Substitution 1,
208380,2010,8th Finals,71,,16,Mexico,2886,J. Hernández,117990.0,G. Torrado,Goal,Normal Goal,
208380,2010,8th Finals,79,,26,Argentina,266,Á. Di María,5946.0,J. Gutiérrez,subst,Substitution 2,
