fixture_id,world_cup_year,date,round,venue_name,venue_city,referee,status,status_long,elapsed_minutes,home_team_id,home_team_name,home_team_winner,away_team_id,away_team_name,away_team_winner,home_goals,away_goals,halftime_home,halftime_away,fulltime_home,fulltime_away,extratime_home,extratime_away,went_to_extra_time,penalty_home,penalty_away,went_to_penalties,day_of_week,match_month,match_hour,is_group_stage,is_knockout,total_goals,goal_difference,home_goal_diff,match_result,decided_by_penalties,decided_by_extra_time,decided_in_regular_time,is_high_scoring,is_clean_sheet_home,is_clean_sheet_away
208393,2010,2010-06-11T14:00:00+00:00,Group Stage - 1,FNB Stadium,"Johannesburg, GA",R. Irmatov,FT,Match Finished,90,1531,South Africa,False,16,Mexico,False,1,1,0,0,1,1,,,False,,,False,Friday,6,14,True,False,2,0,0,draw,False,False,True,False,False,False
208394,2010,2010-06-11T18:30:00+00:00,Group Stage - 1,Cape Town Stadium,Cape Town,,FT,Match Finished,90,7,Uruguay,False,2,France,False,0,0,0,0,0,0,,,False,,,False,Friday,6,18,True,False,0,0,0,draw,False,False,True,False,True,True
208395,2010,2010-06-12T11:30:00+00:00,Group Stage - 1,Nelson Mandela Bay Stadium,Port Elizabeth,M. Hester,FT,Match Finished,90,17,South Korea,True,1117,Greece,False,2,0,1,0,2,0,,,False,,,False,Saturday,6,11,True,False,2,2,2,home_win,False,False,True,False,True,False
208396,2010,2010-06-12T14:00:00+00:00,Group Stage - 1,Emirates Airline Park,"Johannesburg, GA",W. Stark,FT,Match Finished,90,26,Argentina,True,19,Nigeria,False,1,0,1,0,1,0,,,False,,,False,Saturday,6,14,True,False,1,1,1,home_win,False,False,True,False,True,False
208397,2010,2010-06-12T18:30:00+00:00,Group Stage - 1,Royal Bafokeng Stadium,"Phokeng, NW",Carlos Simon,FT,Match Finished,90,10,England,False,2384,USA,False,1,1,1,1,1,1,,,False,,,False,Saturday,6,18,True,False,2,0,0,draw,False,False,True,False,False,False
208398,2010,2010-06-13T11:30:00+00:00,Group Stage - 1,Peter Mokaba Stadium,Pietersburg,C. Batres,FT,Match Finished,90,1532,Algeria,False,1091,Slovenia,True,0,1,0,0,0,1,,,False,,,False,Sunday,6,11,True,False,1,1,-1,away_win,False,False,True,False,False,True
208399,2010,2010-06-13T14:00:00+00:00,Group Stage - 1,Loftus Versfeld Stadium,Tshwane,H. Baldassi,FT,Match Finished,90,14,Serbia,False,1504,Ghana,True,0,1,0,0,0,1,,,False,,,False,Sunday,6,14,True,False,1,1,-1,away_win,False,False,True,False,False,True
208400,2010,2010-06-13T18:30:00+00:00,Group Stage - 1,Moses Mabhida Stadium,Durban,M. Rodríguez,FT,Match Finished,90,25,Germany,True,20,Australia,False,4,0,2,0,4,0,,,False,,,False,Sunday,6,18,True,False,4,4,4,home_win,False,False,True,True,True,False
208401,2010,2010-06-14T11:30:00+00:00,Group Stage - 1,FNB Stadium,"Johannesburg, GA",S. Lannoy,FT,Match Finished,90,1118,Netherlands,True,21,Denmark,False,2,0,0,0,2,0,,,False,,,False,Monday,6,11,True,False,2,2,2,home_win,False,False,True,False,True,False
208402,2010,2010-06-14T14:00:00+00:00,Group Stage - 1,Free State Stadium,Bloemfontein,Olegário Benquerença,FT,Match Finished,90,12,Japan,True,1530,Cameroon,False,1,0,1,0,1,0,,,False,,,False,Monday,6,14,True,False,1,1,1,home_win,False,False,True,False,True,False
208403,2010,2010-06-14T18:30:00+00:00,Group Stage - 1,Cape Town Stadium,Cape Town,B. Archundia,FT,Match Finished,90,768,Italy,False,2380,Paraguay,False,1,1,0,1,1,1,,,False,,,False,Monday,6,18,True,False,2,0,0,draw,False,False,True,False,False,False
