fixture_id,world_cup_year,date,round,team_id,team_name,is_home,opponent_id,opponent_name,goals_scored,goals_conceded,shots_on_goal,shots_off_goal,total_shots,blocked_shots,shots_insidebox,shots_outsidebox,fouls,corner_kicks,offsides,ball_possession,yellow_cards,red_cards,goalkeeper_saves,total_passes,passes_accurate,passes_pct
135761,2018,2018-06-30T14:00:00+00:00,Round of 16,2,France,True,26,Argentina,4,3,4,4,9,1,6,3,21,0,0,39.0,3,0,1,344,280,81.0
135761,2018,2018-06-30T14:00:00+00:00,Round of 16,26,Argentina,False,2,France,3,4,4,1,10,5,6,4,15,4,1,61.0,5,0,0,512,444,87.0
135762,2018,2018-06-30T18:00:00+00:00,Round of 16,7,Uruguay,True,27,Portugal,2,1,3,2,5,0,3,2,13,2,0,32.0,0,0,4,273,183,67.0
135762,2018,2018-06-30T18:00:00+00:00,Round of 16,27,Portugal,False,7,Uruguay,1,2,5,8,20,7,6,14,13,10,1,68.0,1,0,1,544,471,87.0
135763,2018,2018-07-01T14:00:00+00:00,Round of 16,9,Spain,True,4,Russia,1,1,9,7,23,7,14,9,5,6,1,78.0,1,0,0,1115,1008,90.0
135763,2018,2018-07-01T14:00:00+00:00,Round of 16,4,Russia,False,9,Spain,1,1,1,4,7,2,5,2,19,5,1,22.0,2,0,9,291,192,66.0
135764,2018,2018-07-01T18:00:00+00:00,Round of 16,3,Croatia,True,21,Denmark,1,1,6,7,20,7,8,12,5,5,2,53.0,0,0,2,602,482,80.0
135764,2018,2018-07-01T18:00:00+00:00,Round of 16,21,Denmark,False,3,Croatia,1,1,3,9,14,2,6,8,19,4,0,47.0,1,0,5,530,419,79.0
135765,2018,2018-07-02T14:00:00+00:00,Round of 16,6,Brazil,True,16,Mexico,2,0,10,6,20,4,14,6,6,8,0,48.0,2,0,1,383,320,84.0
135765,2018,2018-07-02T14:00:00+00:00,Round of 16,16,Mexico,False,6,Brazil,0,2,1,5,14,8,7,7,17,7,2,52.0,4,0,8,406,350,86.0
135766,2018,2018-07-02T18:00:00+00:00,Round of 16,1,Belgium,True,12,Japan,3,2,8,9,24,7,14,10,13,10,1,57.0,0,0,3,595,515,87.0
135766,2018,2018-07-02T18:00:00+00:00,Round of 16,12,Japan,False,1,Belgium,2,3,4,4,11,3,7,4,9,6,1,43.0,1,0,5,450,366,81.0
135767,2018,2018-07-03T14:00:00+00:00,Round of 16,5,Sweden,True,15,Switzerland,1,0,3,6,12,3,5,7,11,3,1,32.0,1,0,4,274,188,69.0
135767,2018,2018-07-03T14:00:00+00:00,Round of 16,15,Switzerland,False,5,Sweden,0,1,4,4,18,10,8,10,13,11,0,68.0,2,1,2,556,483,87.0
135768,2018,2018-07-03T18:00:00+00:00,Round of 16,8,Colombia,True,10,England,1,1,4,7,14,3,7,7,23,2,1,47.0,6,0,1,524,406,77.0
135768,2018,2018-07-03T18:00:00+00:00,Round of 16,10,England,False,8,Colombia,1,1,2,9,16,5,10,6,13,7,2,53.0,2,0,3,578,465,80.0
135769,2018,2018-07-06T14:00:00+00:00,Quarter-finals,7,Uruguay,True,2,France,0,2,4,6,11,1,6,5,17,4,0,38.0,2,0,0,311,199,64.0
135769,2018,2018-07-06T14:00:00+00:00,Quarter-finals,2,France,False,7,Uruguay,2,0,2,8,11,1,3,8,15,3,0,62.0,2,0,4,516,417,81.0
135770,2018,2018-07-06T18:00:00+00:00,Quarter-finals,6,Brazil,True,1,Belgium,1,2,9,7,27,11,16,11,14,8,1,58.0,2,0,2,521,463,89.0
135770,2018,2018-07-06T18:00:00+00:00,Quarter-finals,1,Belgium,False,6,Brazil,2,1,3,4,9,2,4,5,16,4,0,42.0,2,0,9,374,301,80.0
135771,2018,2018-07-07T14:00:00+00:00,Quarter-finals,5,Sweden,True,10,England,0,2,3,2,6,1,4,2,10,1,2,42.0,2,0,0,366,265,72.0
135771,2018,2018-07-07T14:00:00+00:00,Quarter-finals,10,England,False,5,Sweden,2,0,2,4,12,6,7,5,7,6,1,58.0,1,0,3,502,401,80.0
135772,2018,2018-07-07T18:00:00+00:00,Quarter-finals,4,Russia,True,3,Croatia,2,2,5,7,13,1,10,3,25,6,1,35.0,1,0,1,400,259,65.0
135772,2018,2018-07-07T18:00:00+00:00,Quarter-finals,3,Croatia,False,4,Russia,2,2,3,11,18,4,12,6,18,8,0,65.0,4,0,3,728,592,81.0
135773,2018,2018-07-10T18:00:00+00:00,Semi-finals,2,France,True,1,Belgium,1,0,5,8,19,6,12,7,6,4,1,36.0,2,0,3,345,289,84.0
135773,2018,2018-07-10T18:00:00+00:00,Semi-finals,1,Belgium,False,2,France,0,1,3,5,9,1,6,3,16,5,1,64.0,3,0,4,594,542,91.0
135774,2018,2018-07-11T18:00:00+00:00,Semi-finals,3,Croatia,True,10,England,2,1,7,11,22,4,12,10,23,8,1,55.0,2,0,0,590,474,80.0
135774,2018,2018-07-11T18:00:00+00:00,Semi-finals,10,England,False,3,Croatia,1,2,2,6,11,3,6,5,14,4,3,45.0,1,0,5,497,379,76.0
135775,2018,2018-07-14T14:00:00+00:00,3rd Place Final,1,Belgium,True,10,England,2,0,4,3,12,5,10,2,11,4,1,42.0,1,0,5,485,420,87.0
135775,2018,2018-07-14T14:00:00+00:00,3rd Place Final,10,England,False,1,Belgium,0,2,6,7,15,2,9,6,4,5,0,58.0,2,0,2,674,619,92.0
135776,2018,2018-07-15T15:00:00+00:00,Final,2,France,True,3,Croatia,4,2,6,0,7,1,2,5,13,2,1,34.0,2,0,2,289,198,69.0
135776,2018,2018-07-15T15:00:00+00:00,Final,3,Croatia,False,2,France,2,4,4,9,14,1,9,5,13,6,1,66.0,1,0,3,528,440,83.0
135777,2018,2018-06-14T15:00:00+00:00,Group Stage - 1,4,Russia,True,23,Saudi Arabia,5,0,7,3,14,4,11,3,22,6,3,38.0,1,0,0,345,251,73.0
135777,2018,2018-06-14T15:00:00+00:00,Group Stage - 1,23,Saudi Arabia,False,4,Russia,0,5,0,3,6,3,4,2,10,2,1,62.0,1,0,2,557,451,81.0
135778,2018,2018-06-15T12:00:00+00:00,Group Stage - 1,32,Egypt,True,7,Uruguay,0,1,3,3,8,2,4,4,12,0,1,41.0,2,0,4,424,313,74.0
135778,2018,2018-06-15T12:00:00+00:00,Group Stage - 1,7,Uruguay,False,32,Egypt,1,0,5,6,15,4,8,7,6,5,1,59.0,0,0,3,588,503,86.0
135779,2018,2018-06-15T15:00:00+00:00,Group Stage - 1,31,Morocco,True,22,Iran,0,1,3,6,13,4,9,4,22,5,0,67.0,1,0,2,461,374,81.0
135779,2018,2018-06-15T15:00:00+00:00,Group Stage - 1,22,Iran,False,31,Morocco,1,0,2,6,9,1,6,4,14,2,0,33.0,3,0,3,218,127,58.0
135780,2018,2018-06-15T18:00:00+00:00,Group Stage - 1,27,Portugal,True,9,Spain,3,3,3,3,9,3,3,6,12,4,1,33.0,1,0,3,372,307,83.0
135780,2018,2018-06-15T18:00:00+00:00,Group Stage - 1,9,Spain,False,27,Portugal,3,3,6,5,13,2,9,4,10,5,3,67.0,1,0,0,759,700,92.0
135781,2018,2018-06-16T10:00:00+00:00,Group Stage - 1,2,France,True,20,Australia,2,1,5,5,12,2,7,6,16,5,0,55.0,1,0,1,508,426,84.0
135781,2018,2018-06-16T10:00:00+00:00,Group Stage - 1,20,Australia,False,2,France,1,2,1,3,6,2,4,2,19,1,0,45.0,3,0,4,407,321,79.0
135782,2018,2018-06-16T13:00:00+00:00,Group Stage - 1,26,Argentina,True,18,Iceland,1,1,7,10,27,10,12,15,10,10,0,77.0,0,0,1,752,673,89.0
135782,2018,2018-06-16T13:00:00+00:00,Group Stage - 1,18,Iceland,False,26,Argentina,1,1,2,5,8,1,5,3,15,2,0,23.0,0,0,6,209,132,63.0
